ID,Client_ID,Created,Mobility,Race,Latino,Newborn,Child,Teen,Elder
1,126,11/18/21 05:19 PM,No,Black,No,0,1,1,0
2,130,11/18/21 06:48 PM,Yes,White,No,0,2,0,0
3,133,11/18/21 07:26 PM,Yes,White,No,0,1,2,0
4,134,11/18/21 07:44 PM,Yes,White,No,0,0,0,0
5,128,11/20/21 10:34 AM,No,Black,Yes,0,0,0,0
6,132,11/20/21 06:26 PM,Yes,Black,No,0,0,0,0
7,125,11/26/21 05:07 PM,No,Mixed,No,0,0,0,0
8,262,11/26/21 05:16 PM,No,Middle Eastern (Palestinian),No,1,2,0,1
9,131,11/27/21 06:41 PM,No,White,No,1,1,0,1
10,140,12/03/21 07:01 PM,Yes,Mixed,Unsure,0,0,0,3
11,135,12/03/21 08:21 PM,Yes,White,No,0,1,0,0
12,137,12/03/21 08:41 PM,No,Native American,,0,0,0,0
13,141,01/26/22 04:37 PM,No,"Black, White",Yes,0,0,0,0
14,145,03/09/22 03:16 PM,No,White ,No,0,0,0,0
15,144,03/09/22 03:30 PM,Yes,White ,No,0,1,0,0
16,142,03/11/22 03:07 PM,Yes,White ,No,0,0,0,1
17,146,03/16/22 11:37 AM,No,White ,No,0,0,0,0
18,150,03/25/22 10:02 AM,Yes,White ,No,0,0,0,2
19,148,03/25/22 02:36 PM,No,White ,No,0,0,0,0
20,149,03/30/22 01:36 PM,No,Black,No,0,0,0,1
21,152,03/31/22 04:38 PM,Yes,White ,No,0,0,0,1
22,,03/18/22 02:56 PM,,White ,No,0,0,0,0
23,84,03/18/22 09:53 PM,Yes,Black ,No,0,2,0,0
24,78,03/20/22 01:50 PM,Yes,Mixed,No,0,0,0,0
25,,03/20/22 02:04 PM,Yes,White,No,0,3,0,1
26,81,03/21/22 06:15 PM,No,Black,No,0,1,0,0
27,48,03/23/22 11:49 AM,No,White,Yes,0,2,1,0
28,125,03/24/22 05:14 PM,No,,,0,0,0,0
29,165,03/20/22 02:25 PM,No,Hispano,Yes,0,2,1,0
30,175,03/21/22 09:24 PM,Yes,Hispano,Yes,1,1,2,2
31,154,04/04/22 09:24 AM,Yes,White,No,0,2,1,0
32,151,04/04/22 02:48 PM,Yes,White,Yes,0,2,0,1
33,153,04/07/22 11:12 AM,Yes,"White, Native American",No,0,0,0,1
34,155,04/07/22 12:33 PM,No,White,No,0,2,0,0
35,157,,No,White,No,1,3,1,0
36,196,04/25/22 04:43 PM,No,Black,No,0,0,0,0
37,60,04/25/22 04:43 PM,Yes,White,No,0,0,0,1
38,197,04/25/22 08:26 AM,Yes,Black,No,0,0,0,2
39,198,04/25/22 01:16 PM,Yes,Black,No,0,0,0,0
40,199,04/25/22 04:43 PM,Yes,Black,No,0,0,0,2
41,200,04/25/22 04:57 PM,Yes,Black,No,0,0,0,1
42,158,04/25/22 05:19 PM,Yes,White,No,0,0,0,1
43,203,04/27/22 02:40 PM,Yes,Black,No,0,3,1,0
44,204,04/27/22 02:55 PM,Yes,Black,No,0,0,2,1
45,205,04/27/22 03:09 PM,Yes,White,No,0,0,0,1
46,202,04/27/22 03:36 PM,?,Black,No,0,1,1,0
47,206,04/28/22 03:25 PM,Yes,,Yes,0,0,0,0
48,156,05/02/22 11:35 AM,No,White,No,0,0,0,0
49,208,05/04/22 02:45 PM,No,White,Yes,1,3,1,1
50,147,05/05/22 08:45 AM,No,Black,No,0,2,0,0
51,133,05/09/22 10:24 AM,Yes,White,No,0,2,2,0
52,53,05/09/22 11:05 AM,No,Black,No,0,0,0,3
53,79,05/09/22 11:30 AM,No,Other,No,0,0,0,0
54,52,05/09/22 12:17 PM,No,Black,No,0,1,0,1
55,209,05/13/22 10:47 AM,Yes,Black,No,0,2,0,0
56,38,05/16/22 09:21 AM,Yes,,,0,0,0,0
57,48,05/16/22 09:45 AM,No,,,0,2,1,0
58,41,05/16/22 10:26 AM,No,White,No,0,0,0,1
59,210,05/18/22 08:46 AM,Yes,Mixed,No,0,0,0,1
60,212,05/18/22 09:07 AM,Yes,White,No,0,0,0,0
61,214,05/18/22 03:45 PM,Yes,White,No,0,0,0,0
62,211,05/18/22 06:48 PM,Yes,White,No,0,0,0,0
63,215,05/19/22 04:22 PM,Yes,White,No,0,0,0,1
64,217,05/20/22 01:13 PM,No,White,No,0,0,0,0
65,216,05/20/22 01:41 PM,Yes,Mixed,Yes,0,0,0,0
66,12,05/23/22 10:08 AM,,Black,No,0,0,0,0
67,94,05/27/22 10:22 AM,,,,,,,
68,219,05/27/22 04:39 PM,No,Black,No,0,0,0,0
69,225,06/02/22 05:54 PM,Yes,Black,No,0,0,0,0
70,223,06/08/22 01:28 PM,Yes,Black,No,0,0,0,0
71,224,06/08/22 02:13 PM,?,Black,No,0,0,0,0
