ID,Client_ID,Timestamp,Type,Q1,Q2,Q3,Q4
1,126,11/18/2021 17:19:50,Pre-entry,Often true,Sometimes true,Yes,No
2,130,11/18/2021 18:48:47,Pre-entry,Often true,Often true,Yes,Yes
3,133,11/18/2021 19:26:31,Pre-entry,Sometimes true,Often true,Yes,Yes
4,134,11/18/2021 19:44:55,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
5,128,11/20/2021 10:34:19,Pre-entry,Sometimes true,Never true,Yes,No
6,132,11/20/2021 18:26:41,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
7,125,11/26/2021 17:07:34,Pre-entry,Often true,Often true,Yes,No
8,262,11/26/2021 17:16:11,Pre-entry,Sometimes true,Often true,Yes,No
9,131,11/27/2021 18:41:20,Pre-entry,Often true,Sometimes true,No,No
10,140,12/3/2021 19:01:00,Pre-entry,Often true,Often true,Yes,Yes
11,135,12/3/2021 20:16:22,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
12,137,12/3/2021 20:38:00,Pre-entry,Sometimes true,Often true,Yes,
13,141,1/26/2022 16:37:58,Pre-entry,Sometimes true,Sometimes true,Yes,No
14,117,12/13/2021 18:04:32,Pre-entry,Often true,Often true,Yes,Yes
15,129,12/13/2021 18:20:39,Pre-entry,Often true,Often true,No,Yes
16,145,3/9/2022 15:15:39,Pre-entry,Sometimes true,Often true,Yes,No
17,144,3/9/2022 15:30:00,Pre-entry,Often true,Often true,Yes,Yes
18,142,3/11/2022 14:51:39,Pre-entry,Sometimes true,Sometimes true,No,Yes
19,146,3/16/2022 11:21:54,Pre-entry,Often true,Often true,Yes,No
20,150,3/25/2022 10:02:45,Pre-entry,Never true,Sometimes true,Yes,Yes
21,148,3/25/2022 10:51:04,Pre-entry,Sometimes true,Often true,Yes,No
22,149,3/30/2022 13:35:21,Pre-entry,Often true,Often true,Yes,No
23,152,3/31/2022 16:37:18,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
24,133,3/16/2022 10:55:23,Pre-entry,Often true,Sometimes true,Yes,No
25,134,3/16/2022 10:58:54,Pre-entry,Sometimes true,Sometimes true,Yes,Unsure
26,,3/18/2022 14:56:45,Pre-entry,Often true,Often true,Yes,
27,84,3/18/2022 21:53:36,Pre-entry,Often true,Often true,Yes,Yes
28,78,3/20/2022 13:50:13,Pre-entry,Often true,Often true,Yes,Yes
29,,3/20/2022 14:04:22,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
30,81,3/21/2022 18:15:48,Pre-entry,Often true,Sometimes true,Yes,No
31,48,3/23/2022 11:49:22,Pre-entry,,,,No
32,48,3/23/2022 11:50:01,Pre-entry,,,,
33,125,3/24/2022 17:14:43,Pre-entry,Often true,Often true,Yes,No
34,133,3/30/2022 13:50:43,Pre-entry,Sometimes true,Often true,Yes,No
35,144,3/31/2022 7:45:12,Pre-entry,Often true,Often true,Yes,Yes
36,133,3/16/2022 10:55:23,Check-in,Often true,Sometimes true,Yes,No
37,134,3/16/2022 10:58:54,Check-in,Never true,Never true,No,Unsure
38,,3/18/2022 14:56:45,Check-in,Sometimes true,Sometimes true,Yes,
39,84,3/18/2022 21:53:36,Check-in,Never true,Sometimes true,No,Yes
40,78,3/20/2022 13:50:13,Check-in,Often true,Sometimes true,Yes,Yes
41,,3/20/2022 14:04:22,Check-in,Often true,Never true,No,Yes
42,81,3/21/2022 18:15:48,Check-in,Sometimes true,Sometimes true,No,No
43,48,3/23/2022 11:49:22,Check-in,,,,No
44,48,3/23/2022 11:50:01,Check-in,,,,
45,125,3/24/2022 17:14:43,Check-in,Often true,Often true,Yes,No
46,133,3/30/2022 13:50:43,Check-in,Often true,Often true,Yes,No
47,144,3/31/2022 7:45:12,Check-in,Sometimes true,Sometimes true,No,Yes
48,165,3/20/2022 14:25:11,Pre-entry,Sometimes true,Often true,Yes,No
49,175,3/21/2022 21:24:44,Pre-entry,Sometimes true,Often true,Yes,Yes
50,165,3/20/2022 14:25:11,Check-in,Sometimes true,Often true,Yes,No
51,175,3/21/2022 21:24:44,Check-in,Sometimes true,Sometimes true,Yes,Yes
52,154,4/4/2022 9:22:50,Pre-entry,Often true,Often true,Yes,Yes
53,151,4/4/2022 14:47:39,Check-in,Often true,Often true,Yes,Yes
54,153,4/7/2022 11:07:01,Pre-entry,Often true,Often true,Yes,Yes
55,155,4/7/2022 12:31:51,Pre-entry,Sometimes true,Often true,Yes,No
56,157,4/14/2022 0:00:00,Pre-entry,Often true,Often true,Yes,No
57,196,4/14/2022 0:00:00,Pre-entry,Sometimes true,Sometimes true,Yes,No
58,60,4/18/2022 10:03:00,Pre-entry,Often true,Sometimes true,Yes,Yes
59,60,4/18/2022 10:05:00,Check-in,Often true,Sometimes true,No,Yes
60,197,4/25/2022 16:43:26,Pre-entry,Often true,Often true,Yes,Yes
61,198,4/25/2022 13:15:09,Pre-entry,Often true,Often true,Yes,Yes
62,199,4/25/2022 16:42:16,Pre-entry,Sometimes true,Often true,Yes,Yes
63,200,4/25/2022 16:55:56,Pre-entry,Often true,Often true,Yes,Yes
64,158,4/25/2022 17:15:14,Pre-entry,Often true,Often true,Yes,Yes
65,203,4/27/2022 14:39:17,Pre-entry,Often true,Sometimes true,Yes,Yes
66,204,4/27/2022 14:53:53,Pre-entry,Often true,Sometimes true,Yes,Yes
67,205,4/27/2022 15:08:43,Pre-entry,Often true,Often true,Yes,Yes
68,202,4/27/2022 15:34:30,Pre-entry,Often true,Often true,Yes,No (Sickle cell)
69,206,4/28/2022 15:02:53,Pre-entry,Often true,Often true,Yes,Yes
70,156,5/2/2022 11:34:18,Pre-entry,Often true,Often true,Yes,No
71,147,5/4/2022 14:16:54,Pre-entry,Often true,Sometimes true,Yes,No
72,208,5/4/2022 14:44:17,Pre-entry,Often true,Sometimes true,Yes,No
73,79,5/9/2022 11:28:26,Check-in,Often true,Often true,Yes,No
74,52,5/9/2022 19:08:27,Check-in,Sometimes true,Never true,No,No
75,209,5/13/2022 10:45:44,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
76,38,5/16/2022 9:19:32,Check-in,Often true,Sometimes true,Yes,Yes
77,48,5/16/2022 9:46:28,Check-in,Never true,Never true,No,No
78,41,5/16/2022 10:26:43,Check-in,Sometimes true,,No,No
79,210,5/18/2022 8:45:17,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
80,212,5/18/2022 9:05:56,Pre-entry,Sometimes true,Sometimes true,No,Yes
81,214,5/18/2022 15:44:02,Pre-entry,Often true,Often true,Yes,Yes
82,211,5/18/2022 18:46:50,Pre-entry,Often true,Often true,Yes,Yes
83,215,5/19/2022 16:21:08,Pre-entry,Often true,Often true,Yes,Yes
84,217,5/20/2022 13:11:19,Pre-entry,,Often true,Yes,No
85,216,5/20/2022 13:40:14,Pre-entry,Often true,Often true,Yes,Yes
86,219,6/13/2022 9:50:21,Pre-entry,Often true,Often true,Yes,No
87,225,6/2/2022 17:53:21,Pre-entry,Sometimes true,Sometimes true,Yes,Yes
88,223,6/8/2022 13:27:27,Pre-entry,Often true,Often true,Yes,Yes
89,224,6/8/2022 14:12:19,Pre-entry,Often true,Often true,No,Yes
